Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,38,52,46,70,48,75,73,75,74,59,49,48
2,36,44,42,55,53,70,70,74,74,60,62,46
3,40,51,31,42,54,67,71,73,71,66,65,44
4,25,52,35,37,50,75,75,74,73,65,54,43
5,20,38,35,35,52,68,78,76,75,60,53,44
6,33,34,38,39,51,74,83,80,76,64,52,42
7,39,40,48,53,54,75,83,78,78,66,47,43
8,39,34,57,45,58,60,77,79,80,63,54,40
9,44,32,61,40,62,63,69,79,83,58,54,35
10,50,35,71,41,57,67,73,81,82,56,48,32
11,33,25,58,54,63,74,73,83,75,55,52,32
12,35,21,50,52,68,73,75,83,70,60,44,40
13,26,14,56,49,62,66,78,89,74,60,51,39
14,30,7,46,53,65,69,81,86,79,55,54,38
15,43,24,51,54,52,74,84,85,68,55,52,27
16,47,45,57,56,55,70,83,83,67,61,53,22
17,36,37,54,60,58,71,82,81,67,72,55,32
18,25,32,50,67,56,74,83,79,76,74,54,45
19,22,32,41,64,64,77,78,81,73,75,50,27
20,32,50,38,59,65,74,77,77,75,66,38,27
21,31,50,41,61,60,80,81,80,76,63,39,35
22,26,45,46,71,61,77,84,72,76,52,39,43
23,26,38,60,63,67,76,88,72,76,53,40,43
24,28,48,50,58,66,76,85,78,65,55,43,43
25,34,49,58,60,75,75,83,78,62,48,50,43
26,43,33,47,54,80,77,81,83,64,45,45,42
27,41,34,49,54,80,75,83,82,69,48,45,50
28,37,49,52,54,82,72,85,81,63,47,45,37
29,36,54,47,52,79,75,77,83,61,52,56,40
30,34,-,47,56,75,76,79,78,58,65,54,37
31,46,-,61,-,78,-,75,82,-,49,-,38
Average,34,7,37,9,49,1,53,6,62,9,72,5,78,9,79,5,72,0,58,9,49,9,38,6
