bin;LFE
4304822;13,2
4301237;18,7
4301237;18,7
4301237;18,7
4301249;15,1
4301249;15,1
4301476;14
4301690;15,2
4301690;15,2
4301690;15,2
4301702;14,2
4306836;14,4
4306836;14,4
5045797;9,13
5046069;8,1
5046069;8,1
5046069;8,1
5050376;14,06
5050376;14,06
5050411;14,8
5142170;19,6
5054926;13
5054505;8,3
5054505;8,3
5053595;11,1
5054550;5,7
5054550;5,7
5054550;5,7
5054550;5,7
5054550;5,7
5054550;5,7
5054550;5,7
5054310;13,2
5105713;8,8
5056032;13,6
5056032;13,6
5054693;3
5166647;4,3
5054698;3,9
5054698;3,9
5054629;15,37
5054629;15,37
5054629;15,37
5105630;7,7
5105650;7,3
3188150;8,53
3247143;11
3233136;12,72
3247973;12,75
3244515;12,83
3246906;12,96
4465732;13
4467030;13
4300810;13
3247202;13,15
3421664;13,625
4465151;14
4466800;14
4466667;14
3247058;14
5050518;14
4302478;14
3204890;14,01
3233979;14,05
4466149;14,25
3248905;14,46
3421665;14,5
4466877;14,5
4466310;15
3395004;15,47
5050516;15,51
3395006;15,52
3392715;15,6
3188159;16,18
3233030;16,63
3249399;16,83333333
2082887;17
3205208;17,54
3205207;17,54
3233079;17,83
3232273;17,83
3188206;17,92
3188210;17,97
3188211;17,97
3188217;17,97
3188212;17,97
2078402;18
3188208;18,06
3232274;18,87
3344118;2
3250168;13
3245874;13
3246266;19
3248841;10,3
3248711;10,45
3248916;10,9
3188862;11,467
3249150;11,7
3248772;12,08
3249021;12,58
3249944;14,3
3189280;16,1
3255089;16,4
3331403;4,73
3189081;5,02
3255462;5,08
3189246;5,15
3255461;5,15
3336531;6,05
3188697;6,15
3331695;6,35
3188265;6,53
3259041;6,78
3188142;6,83
3188146;6,83
3248976;7,9
3188911;8,02
3255421;8,89
3248819;9,5
